cust_id,call_date,y
cust_000006,2018-10-16,no
cust_000007,2018-07-22,no
cust_000010,2018-07-17,no
cust_000011,2018-08-29,no
cust_000012,2019-02-08,no
cust_000013,2018-12-27,no
cust_000018,2018-06-19,no
cust_000022,2018-05-16,no
cust_000024,2018-07-11,no
cust_000032,2018-10-17,no
cust_000039,2019-03-19,no
cust_000042,2018-05-27,no
cust_000043,2019-05-03,no
cust_000051,2018-05-25,no
cust_000053,2018-10-02,no
cust_000055,2019-02-11,no
cust_000065,2018-06-02,no
cust_000071,2019-04-07,no
cust_000073,2019-01-23,no
cust_000076,2019-02-06,no
cust_000077,2018-09-07,no
cust_000085,2018-12-03,no
cust_000093,2018-11-25,yes
cust_000094,2018-10-19,no
cust_000095,2018-08-27,no
cust_000096,2018-09-29,no
cust_000099,2018-05-28,no
cust_000105,2018-11-20,no
cust_000108,2018-08-02,no
cust_000117,2019-03-11,no
cust_000121,2018-09-01,no
cust_000123,2018-09-10,no
cust_000125,2018-06-22,no
cust_000145,2018-07-21,no
cust_000146,2019-03-17,no
cust_000148,2019-01-04,no
cust_000150,2018-06-27,no
cust_000151,2019-04-19,no
cust_000155,2018-10-05,no
cust_000157,2018-06-20,no
cust_000164,2018-08-23,no
cust_000169,2019-01-24,no
cust_000172,2019-03-03,no
cust_000178,2018-11-24,no
cust_000185,2019-05-01,no
cust_000191,2018-10-20,no
cust_000193,2018-12-06,no
cust_000203,2018-09-19,no
cust_000208,2019-04-11,no
cust_000216,2019-04-17,no
cust_000218,2018-07-28,yes
cust_000219,2018-12-02,no
cust_000227,2019-01-09,no
cust_000231,2018-10-03,no
cust_000232,2019-01-25,no
cust_000237,2018-10-31,no
cust_000239,2018-09-02,no
cust_000249,2018-10-12,no
cust_000255,2018-06-15,no
cust_000258,2018-06-17,no
cust_000260,2018-12-30,no
cust_000268,2019-01-27,no
cust_000276,2019-01-13,no
cust_000277,2018-07-31,no
cust_000282,2018-09-06,no
cust_000286,2019-03-29,no
cust_000288,2019-02-12,no
cust_000301,2018-08-23,no
cust_000302,2018-09-09,no
cust_000305,2018-11-15,no
cust_000318,2019-02-21,no
cust_000320,2019-01-04,no
cust_000321,2018-08-05,no
cust_000322,2018-08-22,no
cust_000328,2018-12-12,no
cust_000329,2018-12-24,no
cust_000330,2018-09-28,no
cust_000337,2018-12-23,no
cust_000339,2019-01-06,no
cust_000352,2019-02-06,no
cust_000355,2018-08-12,no
cust_000359,2018-10-02,no
cust_000362,2018-06-24,yes
cust_000363,2018-08-06,no
cust_000368,2019-04-11,no
cust_000369,2018-10-05,no
cust_000375,2019-01-03,no
cust_000376,2018-06-29,no
cust_000389,2019-02-04,no
cust_000394,2018-08-24,no
cust_000398,2018-06-06,no
cust_000411,2019-03-20,yes
cust_000417,2018-09-17,no
cust_000419,2018-05-19,no
cust_000420,2019-02-05,no
cust_000426,2018-09-03,no
cust_000448,2018-11-08,no
cust_000449,2018-07-30,no
cust_000453,2019-03-22,no
cust_000473,2018-06-06,no
cust_000481,2018-08-13,no
cust_000490,2018-05-18,no
cust_000498,2018-10-02,no
cust_000502,2018-12-21,no
cust_000511,2018-05-13,no
cust_000517,2018-05-19,no
cust_000520,2018-10-30,no
cust_000521,2019-04-13,no
cust_000529,2018-07-06,no
cust_000531,2018-10-24,no
cust_000535,2018-05-13,no
cust_000536,2019-04-11,no
cust_000537,2019-04-11,no
cust_000539,2019-01-02,no
